Date,Open,High,Low,Close,Adj Close,Volume
2022-06-13,302.630005,304.500000,299.750000,301.329987,296.849731,2039600
2022-06-14,299.260010,300.109985,293.220001,295.619995,291.224640,2420300
2022-06-15,299.600006,302.839996,294.059998,299.989990,295.529663,1979500
2022-06-16,289.839996,291.609985,287.829987,289.720001,285.412354,2986900
2022-06-17,285.040009,292.510010,283.670013,290.679993,286.358093,5565600
2022-06-21,293.390015,300.609985,292.839996,298.779999,294.337646,3779400
2022-06-22,293.589996,300.899994,293.339996,298.399994,293.963287,2768900
2022-06-23,296.959991,299.790009,293.000000,296.829987,292.416656,2812400
2022-06-24,297.510010,304.619995,297.459991,303.230011,298.721497,23958800
2022-06-27,299.619995,300.799988,295.489990,296.260010,291.855133,2714300
2022-06-28,296.250000,299.000000,292.190002,293.399994,289.037628,2535500
2022-06-29,291.130005,292.339996,288.640015,291.410004,287.077240,1951200
2022-06-30,284.119995,289.589996,282.500000,287.529999,283.254913,2926900
2022-07-01,283.519989,286.130005,280.929993,285.440002,281.196014,3307600
2022-07-05,272.179993,273.470001,266.829987,270.630005,266.606201,4332700
2022-07-06,269.609985,275.480011,269.549988,274.290009,270.211792,3484100
2022-07-07,274.820007,276.260010,273.589996,273.880005,269.807892,2338000
2022-07-08,274.760010,276.380005,271.970001,273.679993,269.610809,1711900
2022-07-11,270.940002,278.170013,270.750000,276.769989,272.654907,2251700
2022-07-12,274.959991,277.649994,273.109985,273.540009,269.472931,2146600
2022-07-13,270.140015,275.869995,269.299988,274.730011,270.645264,2423300
2022-07-14,267.820007,269.119995,265.119995,269.010010,265.010315,2473800
2022-07-15,275.260010,276.980011,273.260010,276.980011,272.861816,2370100
2022-07-18,279.760010,280.589996,276.269989,277.130005,273.009552,2244100
2022-07-19,280.820007,286.420013,280.299988,285.750000,281.501373,2097500
2022-07-20,284.399994,285.799988,281.929993,283.140015,278.930206,1997000
2022-07-21,282.500000,287.239990,282.089996,287.029999,282.762360,1544800
2022-07-22,287.179993,288.700012,284.549988,285.540009,281.294525,1203700
2022-07-25,286.920013,288.260010,284.570007,288.089996,283.806580,1460700
2022-07-26,284.529999,287.649994,284.350006,286.619995,282.358459,1448500
2022-07-27,286.190002,290.730011,285.109985,290.450012,286.131531,3179200
2022-07-28,286.440002,297.320007,286.440002,296.929993,292.515137,1941300
2022-07-29,299.130005,303.149994,298.750000,302.000000,297.509766,1711400
2022-08-01,300.429993,302.290009,298.489990,300.070007,295.608490,1247900
2022-08-02,298.429993,300.619995,295.820007,297.640015,293.214630,1428100
2022-08-03,299.880005,301.329987,295.790009,300.059998,295.598602,1297100
2022-08-04,301.420013,304.119995,301.420013,302.239990,297.746216,1451100
2022-08-05,300.109985,302.070007,299.399994,301.970001,297.480225,1113100
2022-08-08,305.660004,305.859985,300.690002,300.980011,296.504974,1081700
2022-08-09,300.649994,302.739990,299.769989,300.670013,296.199585,884200
2022-08-10,308.019989,311.279999,306.429993,309.399994,304.799744,1246500
2022-08-11,309.239990,310.049988,305.609985,305.869995,301.322235,1165400
2022-08-12,305.980011,311.570007,305.570007,311.549988,306.917786,1149000
2022-08-15,309.839996,312.429993,308.200012,312.209991,307.567963,1263500
2022-08-16,309.290009,313.480011,309.250000,312.290009,307.646820,938400
2022-08-17,308.459991,310.160004,307.000000,309.459991,304.858856,912200
2022-08-18,309.529999,311.100006,308.119995,310.170013,305.558319,1113600
2022-08-19,308.500000,308.529999,303.230011,303.750000,299.233765,1154000
2022-08-22,296.410004,297.529999,294.450012,295.790009,291.392120,1966500
2022-08-23,293.450012,296.540009,292.209991,294.179993,289.806061,1461600
2022-08-24,294.209991,294.970001,292.000000,293.130005,288.771698,1439300
2022-08-25,294.359985,297.540009,292.920013,297.119995,292.702332,1332400
2022-08-26,296.970001,297.220001,286.029999,286.250000,281.993988,1782500
2022-08-29,286.350006,288.829987,285.709991,287.510010,283.235229,1456100
2022-08-30,289.500000,290.029999,282.649994,284.649994,280.417755,1674300
2022-08-31,284.929993,285.750000,282.309998,282.859985,278.654358,2947800
2022-09-01,277.829987,279.600006,273.299988,279.140015,276.131866,3096300
2022-09-02,283.059998,285.809998,276.500000,277.709991,274.717255,2400600
2022-09-06,276.359985,279.170013,273.779999,276.940002,273.955566,2738500
2022-09-07,277.609985,286.109985,277.350006,285.829987,282.749756,1313700
2022-09-08,279.660004,284.109985,279.510010,283.910004,280.850433,1510300
2022-09-09,286.359985,288.059998,285.079987,287.029999,283.936829,1679400
2022-09-12,292.910004,295.179993,290.750000,294.510010,291.336212,1752700
2022-09-13,288.630005,291.579987,284.940002,285.579987,282.502411,1752500
2022-09-14,285.609985,287.459991,283.260010,286.570007,283.481781,1325300
2022-09-15,284.950012,287.670013,282.649994,282.899994,279.851349,1382600
2022-09-16,280.339996,283.910004,278.519989,283.359985,280.306366,3278300
2022-09-19,280.519989,285.309998,280.119995,285.140015,282.067200,1144000
2022-09-20,280.549988,282.739990,279.040009,281.529999,278.496094,1589700
2022-09-21,281.890015,283.700012,276.369995,276.529999,273.549957,1428600
2022-09-22,276.600006,277.459991,273.299988,274.070007,271.116486,1537400
2022-09-23,269.820007,270.579987,265.869995,269.149994,266.249512,1947200
2022-09-26,266.239990,269.570007,262.970001,264.250000,261.402283,2174000
2022-09-27,268.029999,269.160004,262.470001,265.200012,262.342072,1947400
2022-09-28,266.440002,272.890015,264.950012,271.450012,268.524719,1880200
2022-09-29,268.390015,270.489990,265.220001,269.609985,266.704529,1463900
2022-09-30,270.130005,274.140015,269.359985,269.589996,266.684753,2625100
2022-10-03,272.529999,277.329987,271.279999,275.820007,272.847626,3081000
2022-10-04,283.609985,287.170013,282.859985,286.459991,283.372955,2425100
2022-10-05,283.420013,286.320007,281.320007,283.790009,280.731720,1861400
2022-10-06,280.399994,282.250000,277.329987,278.820007,275.815277,2182300
2022-10-07,276.480011,277.000000,271.869995,273.200012,270.255890,1587900
2022-10-10,273.899994,274.799988,270.170013,271.829987,268.900604,1207900
2022-10-11,270.299988,275.049988,268.940002,271.000000,268.079559,1092900
2022-10-12,271.079987,273.820007,269.980011,271.589996,268.663177,1437300
2022-10-13,266.980011,283.019989,266.220001,282.459991,279.416077,2124500
2022-10-14,285.690002,287.589996,274.970001,275.339996,272.372803,1640000
2022-10-17,281.250000,283.700012,280.579987,280.920013,277.892670,1508200
2022-10-18,288.170013,288.829987,282.779999,284.660004,281.592377,1692800
2022-10-19,284.000000,286.100006,281.820007,283.910004,280.850433,1186500
2022-10-20,284.410004,288.209991,281.500000,282.230011,279.188568,1345100
2022-10-21,280.459991,288.730011,279.540009,288.320007,285.212921,1610500
2022-10-24,293.329987,294.880005,276.640015,278.119995,275.122833,4454300
2022-10-25,278.339996,288.239990,278.100006,288.179993,285.074402,2999600
2022-10-26,291.709991,296.600006,290.230011,294.839996,291.662628,2597200
2022-10-27,294.000000,296.709991,292.190002,293.260010,290.099670,2338500
2022-10-28,296.049988,303.000000,294.670013,301.799988,298.547638,2249300
2022-10-31,300.679993,302.760010,297.119995,297.350006,294.145599,2016100
2022-11-01,304.019989,304.019989,296.459991,298.170013,294.956787,1891500
2022-11-02,302.339996,302.339996,293.880005,294.339996,291.168030,2587800
2022-11-03,289.989990,298.220001,289.940002,297.600006,294.392914,2396100
2022-11-04,306.140015,310.040009,303.029999,308.929993,305.600830,2948000
2022-11-07,311.089996,313.950012,309.420013,313.489990,310.111664,1575900
2022-11-08,314.700012,318.510010,313.690002,314.709991,311.318512,1520000
2022-11-09,315.700012,318.869995,313.329987,314.440002,311.051453,1165500
2022-11-10,330.000000,330.130005,324.540009,328.369995,324.831329,2683400
2022-11-11,333.170013,334.260010,329.489990,330.220001,326.661377,2133700
2022-11-14,333.000000,338.029999,331.940002,332.079987,328.501312,1908500
2022-11-15,339.019989,339.250000,329.950012,332.559998,328.976166,1865500
2022-11-16,335.839996,336.149994,333.309998,333.730011,330.133575,1418500
2022-11-17,329.709991,331.350006,328.000000,330.339996,326.780060,1520600
2022-11-18,334.160004,335.700012,330.989990,334.910004,331.300842,1257400
2022-11-21,332.640015,335.920013,332.640015,334.369995,330.766663,1065700
2022-11-22,336.149994,340.269989,334.250000,339.760010,336.098572,1010400
2022-11-23,340.739990,343.500000,340.350006,342.859985,339.165161,954500
2022-11-25,343.260010,344.579987,342.500000,344.420013,340.708374,458500
2022-11-28,344.709991,344.929993,336.799988,337.700012,334.060791,2881100
2022-11-29,334.760010,335.500000,331.010010,331.970001,328.392517,1888300
2022-11-30,332.119995,337.079987,328.399994,336.480011,332.853943,3115200
2022-12-01,337.290009,338.130005,332.910004,337.260010,334.789642,1420000
2022-12-02,334.339996,338.970001,333.619995,337.350006,334.878967,1200800
2022-12-05,335.170013,336.299988,332.579987,334.260010,331.811615,2145000
2022-12-06,334.920013,335.649994,329.489990,331.500000,329.071808,1242100
2022-12-07,332.070007,333.929993,329.579987,331.399994,328.972534,1849300
2022-12-08,331.290009,335.190002,330.910004,334.630005,332.178925,966900
2022-12-09,334.720001,335.839996,332.179993,332.209991,329.776611,1262900
2022-12-12,336.019989,336.809998,333.619995,336.049988,333.588470,1246900
2022-12-13,346.049988,347.600006,340.459991,342.450012,339.941620,1969400
2022-12-14,343.049988,345.459991,340.000000,342.010010,339.504852,1824800
2022-12-15,336.399994,336.799988,328.600006,330.799988,328.376923,1882800
2022-12-16,327.559998,329.940002,324.019989,329.630005,327.215515,3857600
2022-12-19,329.000000,330.500000,326.200012,327.049988,324.654388,1254700
2022-12-20,328.029999,330.920013,326.339996,328.929993,326.520630,1312900
2022-12-21,326.059998,330.320007,326.059998,328.670013,326.262573,1723800
2022-12-22,326.329987,327.839996,323.049988,327.660004,325.259949,1202200
2022-12-23,326.179993,329.609985,325.579987,329.329987,326.917725,636600
2022-12-27,330.660004,332.089996,328.290009,328.950012,326.540527,682800
2022-12-28,328.839996,330.459991,325.579987,325.910004,323.522766,908900
